Date,State,Housing Inventory,Construction Costs,Land Availability,Interest Rates,Economic Conditions,Population Growth,Consumer Confidence,Demographic Trends,Location & Amenities,House Price ($),House Area (sqft)
2010-01-01,Georgia,131832,104114,Abundant,3.29,Weak,1.05,Low,Millennial Buyers,"Urban, Good Schools",244358,2763
2010-01-02,Colorado,190652,147075,Abundant,4.81,Moderate,0.56,Low,Millennial Buyers,"Urban, Good Schools",689121,1779
2010-01-03,Maine,148790,120236,Abundant,5.6,Strong,0.79,High,Millennial Buyers,"Urban, Good Schools",481104,2226
2010-01-04,Washington,108619,197895,Limited,3.21,Strong,1.02,High,Millennial Buyers,"Urban, Good Schools",244898,2722
2010-01-05,Rhode Island,178383,184711,Limited,5.49,Strong,1.66,Low,Aging Population,"Suburban, Transport",316555,3950
2010-01-06,Iowa,197795,147158,Abundant,4.94,Strong,1.7,Moderate,Millennial Buyers,"Suburban, Transport",260163,1582
2010-01-07,Virginia,116966,109656,Abundant,3.51,Strong,0.79,Moderate,Millennial Buyers,"Suburban, Transport",720042,2947
2010-01-08,Missouri,98045,185712,Limited,3.92,Moderate,1.82,Moderate,Aging Population,"Suburban, Transport",293195,3230
2010-01-09,New Jersey,179240,153212,Limited,5.49,Strong,1.59,Moderate,Millennial Buyers,"Suburban, Transport",552466,2552
2010-01-10,New York,81693,141536,Limited,5.45,Moderate,1.9,High,Millennial Buyers,"Suburban, Transport",1717394,3834
2010-01-11,Indiana,175241,143840,Limited,4.72,Weak,0.52,High,Millennial Buyers,"Urban, Good Schools",470188,2400
2010-01-12,West Virginia,184820,137772,Limited,3.78,Strong,0.96,High,Aging Population,"Urban, Good Schools",383601,3358
2010-01-13,Florida,51789,114240,Limited,5.74,Weak,1.29,Low,Millennial Buyers,"Suburban, Transport",539204,1682
2010-01-14,Virginia,74077,169869,Abundant,5.18,Strong,1.24,High,Aging Population,"Urban, Good Schools",299227,1598
2010-01-15,Mississippi,61122,179927,Limited,4.05,Strong,0.95,High,Millennial Buyers,"Urban, Good Schools",599242,1700
2010-01-16,Georgia,93961,142717,Limited,4.41,Weak,0.78,Moderate,Aging Population,"Suburban, Transport",234177,1388
2010-01-17,Montana,111231,197951,Limited,5.3,Strong,1.66,Moderate,Millennial Buyers,"Urban, Good Schools",665569,3568
2010-01-18,Hawaii,175573,114040,Abundant,4.06,Moderate,0.91,Low,Aging Population,"Urban, Good Schools",625472,2979
2010-01-19,Michigan,138299,196251,Abundant,3.05,Moderate,1.03,Low,Millennial Buyers,"Urban, Good Schools",572807,2143
2010-01-20,Rhode Island,172758,108356,Abundant,3.18,Strong,1.23,Moderate,Millennial Buyers,"Suburban, Transport",734001,1261
2010-01-21,Massachusetts,188139,172056,Limited,5.88,Strong,1.2,High,Millennial Buyers,"Urban, Good Schools",233098,3759
2010-01-22,South Carolina,196767,140916,Limited,3.26,Strong,1.89,Low,Aging Population,"Urban, Good Schools",575122,1943
2010-01-23,Montana,130667,139782,Abundant,4.97,Moderate,1.05,High,Millennial Buyers,"Suburban, Transport",692689,3582
2010-01-24,Wyoming,113034,114788,Abundant,4.0,Strong,1.05,High,Aging Population,"Urban, Good Schools",438884,3411
2010-01-25,Missouri,59412,153006,Limited,4.3,Strong,0.96,Moderate,Aging Population,"Urban, Good Schools",551041,3839
2010-01-26,Washington,79694,152754,Limited,4.37,Strong,0.51,Low,Aging Population,"Suburban, Transport",671819,3519
2010-01-27,Montana,101414,181844,Limited,4.76,Strong,0.52,High,Millennial Buyers,"Suburban, Transport",181473,1131
2010-01-28,New Hampshire,94819,153105,Limited,4.59,Strong,1.79,Low,Aging Population,"Urban, Good Schools",543002,2283
2010-01-29,Connecticut,194303,150975,Limited,3.07,Weak,1.3,Low,Millennial Buyers,"Suburban, Transport",694133,2255
2010-01-30,Arizona,98020,148778,Limited,4.98,Strong,0.86,High,Millennial Buyers,"Suburban, Transport",539209,3264
2010-01-31,Louisiana,175713,177263,Abundant,4.7,Strong,1.14,Low,Aging Population,"Suburban, Transport",512907,1611
2010-02-01,Massachusetts,126241,170817,Limited,3.13,Strong,0.95,Low,Aging Population,"Suburban, Transport",706455,1022
2010-02-02,Alabama,106410,135760,Limited,5.37,Strong,1.79,Moderate,Aging Population,"Suburban, Transport",162925,3885
2010-02-03,Montana,119547,196265,Abundant,5.62,Weak,1.99,High,Aging Population,"Suburban, Transport",317796,3328
2010-02-04,Colorado,123115,172749,Limited,5.33,Weak,1.69,Low,Millennial Buyers,"Suburban, Transport",669891,1978
2010-02-05,Florida,105014,135841,Abundant,3.63,Moderate,1.94,High,Aging Population,"Urban, Good Schools",471007,2000
2010-02-06,Oregon,61748,119893,Limited,3.86,Strong,1.72,High,Aging Population,"Urban, Good Schools",777866,2937
2010-02-07,Connecticut,147844,103276,Limited,3.99,Moderate,1.34,High,Millennial Buyers,"Urban, Good Schools",679575,1418
2010-02-08,Massachusetts,76811,121076,Abundant,5.27,Strong,1.59,Low,Aging Population,"Urban, Good Schools",395015,1956
2010-02-09,Florida,134108,182820,Limited,3.94,Weak,1.85,Moderate,Aging Population,"Urban, Good Schools",703578,2476
2010-02-10,Maryland,89203,175342,Abundant,3.57,Moderate,1.16,High,Millennial Buyers,"Suburban, Transport",774299,2762
2010-02-11,Mississippi,163532,129119,Limited,3.32,Moderate,1.36,Moderate,Aging Population,"Suburban, Transport",688019,1886
2010-02-12,New Mexico,50373,122947,Abundant,5.24,Weak,2.0,Low,Aging Population,"Suburban, Transport",332787,1319
2010-02-13,Oklahoma,67349,155242,Abundant,5.82,Moderate,0.79,Moderate,Millennial Buyers,"Urban, Good Schools",469380,2150
2010-02-14,Colorado,57046,193209,Limited,4.86,Moderate,1.09,High,Aging Population,"Urban, Good Schools",376487,1333
2010-02-15,Indiana,127950,195173,Abundant,4.47,Weak,0.68,Moderate,Aging Population,"Suburban, Transport",625643,2756
2010-02-16,Louisiana,155150,115867,Abundant,4.27,Strong,1.29,Low,Aging Population,"Suburban, Transport",712328,2881
2010-02-17,West Virginia,77775,114561,Limited,3.01,Strong,1.94,Moderate,Aging Population,"Urban, Good Schools",619861,1835
2010-02-18,Arizona,88346,199590,Limited,3.38,Moderate,1.66,Low,Aging Population,"Suburban, Transport",243505,2437
2010-02-19,Alaska,82907,165034,Abundant,4.44,Moderate,0.7,Moderate,Aging Population,"Suburban, Transport",699150,1864
2010-02-20,Alaska,186230,159880,Abundant,3.12,Strong,1.17,Low,Aging Population,"Urban, Good Schools",662193,3073
2010-02-21,Wyoming,77998,106386,Limited,4.37,Moderate,1.4,Moderate,Millennial Buyers,"Urban, Good Schools",799435,2218
2010-02-22,South Dakota,198456,141624,Abundant,4.55,Moderate,0.88,High,Aging Population,"Suburban, Transport",416608,1761
2010-02-23,Virginia,145285,145416,Limited,3.16,Weak,1.61,High,Millennial Buyers,"Urban, Good Schools",209463,3026
2010-02-24,Pennsylvania,86211,163082,Abundant,5.19,Weak,0.89,High,Aging Population,"Suburban, Transport",729760,1363
2010-02-25,Washington,99602,110294,Limited,4.72,Weak,1.01,Moderate,Aging Population,"Urban, Good Schools",452973,2071
2010-02-26,Kansas,121737,105839,Abundant,3.34,Weak,0.78,Moderate,Millennial Buyers,"Urban, Good Schools",412059,1742
2010-02-27,Louisiana,134183,128559,Abundant,3.27,Strong,0.81,High,Aging Population,"Urban, Good Schools",500689,2422
2010-02-28,Maryland,152810,163927,Abundant,4.17,Weak,0.76,High,Millennial Buyers,"Urban, Good Schools",463550,1482
2010-03-01,Connecticut,180876,103593,Abundant,3.99,Moderate,0.84,Moderate,Millennial Buyers,"Suburban, Transport",174049,1811
2010-03-02,Washington,90999,122909,Limited,4.5,Strong,1.38,Low,Aging Population,"Suburban, Transport",199716,1929
2010-03-03,Mississippi,123513,169562,Abundant,3.53,Moderate,1.9,Moderate,Millennial Buyers,"Urban, Good Schools",469569,2679
2010-03-04,Texas,51020,146556,Limited,5.4,Weak,1.27,High,Millennial Buyers,"Urban, Good Schools",437387,3212
2010-03-05,Mississippi,108991,170175,Abundant,3.95,Weak,1.04,Low,Aging Population,"Suburban, Transport",205919,2985
2010-03-06,Florida,178786,115059,Limited,3.67,Weak,0.6,Low,Aging Population,"Urban, Good Schools",714061,1749
2010-03-07,Hawaii,91488,111072,Abundant,3.11,Moderate,0.84,Moderate,Millennial Buyers,"Urban, Good Schools",170828,3072
2010-03-08,North Carolina,157927,184562,Abundant,3.54,Strong,1.3,Moderate,Millennial Buyers,"Urban, Good Schools",788292,3813
2010-03-09,North Dakota,188490,191150,Limited,3.78,Strong,1.83,High,Millennial Buyers,"Suburban, Transport",396970,1845
2010-03-10,North Dakota,131019,173954,Abundant,5.25,Weak,1.81,High,Aging Population,"Urban, Good Schools",370763,2114
2010-03-11,Mississippi,155795,104901,Limited,4.86,Weak,1.6,Low,Millennial Buyers,"Suburban, Transport",214139,2882
2010-03-12,Tennessee,118822,105081,Abundant,3.5,Weak,1.71,Low,Aging Population,"Suburban, Transport",196377,3394
2010-03-13,Rhode Island,165390,133785,Abundant,3.06,Strong,1.75,Moderate,Aging Population,"Suburban, Transport",788508,2525
2010-03-14,Rhode Island,60908,123558,Abundant,3.57,Moderate,1.75,High,Millennial Buyers,"Suburban, Transport",658409,3126
2010-03-15,Texas,180974,109317,Limited,3.28,Strong,1.64,Moderate,Aging Population,"Suburban, Transport",663178,2132
2010-03-16,Iowa,152275,162476,Limited,4.78,Weak,0.84,Moderate,Aging Population,"Urban, Good Schools",542873,1978
2010-03-17,Minnesota,107625,134870,Abundant,4.14,Strong,1.32,Moderate,Millennial Buyers,"Suburban, Transport",417802,1015
2010-03-18,Wisconsin,95576,191561,Abundant,3.47,Moderate,1.2,Moderate,Millennial Buyers,"Suburban, Transport",799281,1685
2010-03-19,Georgia,140798,183825,Limited,5.68,Moderate,1.82,Low,Millennial Buyers,"Urban, Good Schools",237329,3324
2010-03-20,California,112162,168336,Limited,5.99,Strong,1.72,High,Millennial Buyers,"Suburban, Transport",789562,1154
2010-03-21,New Jersey,132812,114456,Abundant,3.64,Weak,0.89,High,Aging Population,"Suburban, Transport",269575,1618
2010-03-22,Minnesota,193960,150176,Limited,4.73,Moderate,1.38,Low,Aging Population,"Suburban, Transport",736710,1775
2010-03-23,Utah,83606,191324,Abundant,5.58,Weak,0.84,High,Millennial Buyers,"Urban, Good Schools",651196,3869
2010-03-24,Tennessee,185528,132121,Limited,3.04,Weak,1.67,Moderate,Aging Population,"Suburban, Transport",318994,1635
2010-03-25,Rhode Island,132763,153127,Abundant,5.15,Weak,1.18,Low,Millennial Buyers,"Urban, Good Schools",267527,1111
2010-03-26,Minnesota,114437,126291,Abundant,4.74,Moderate,1.6,Moderate,Millennial Buyers,"Suburban, Transport",609184,3918
2010-03-27,Arkansas,192292,129047,Limited,4.01,Strong,1.09,High,Aging Population,"Suburban, Transport",205722,2370
2010-03-28,Colorado,162502,170008,Limited,3.41,Moderate,0.89,Moderate,Aging Population,"Urban, Good Schools",249429,3001
2010-03-29,Alaska,197420,195509,Limited,4.43,Moderate,1.52,Moderate,Aging Population,"Urban, Good Schools",415665,3015
2010-03-30,Montana,55247,154682,Limited,5.02,Moderate,1.61,Moderate,Millennial Buyers,"Urban, Good Schools",423641,2243
2010-03-31,Kentucky,106156,161921,Limited,3.69,Moderate,1.56,High,Aging Population,"Urban, Good Schools",431933,3113
2010-04-01,Idaho,64451,134886,Limited,4.12,Strong,1.03,Moderate,Millennial Buyers,"Urban, Good Schools",470656,3439
2010-04-02,Nevada,51150,157441,Limited,3.62,Weak,1.53,Moderate,Millennial Buyers,"Suburban, Transport",472719,2834
2010-04-03,Texas,156175,117263,Limited,3.47,Moderate,0.83,Moderate,Aging Population,"Suburban, Transport",163804,3250
