Date,State,Housing_Inventory,Construction_Costs,Land_Availability,Interest_Rates,Economic_Conditions,Population_Growth,Consumer_Confidence,Demographic_Trends,House_Price_($),House_Area_(sqft),Location,Amenities
2021-07-29,Oklahoma,189401,140331,Abundant,4.68,Weak,1.11,Low,Aging Population,628952,1145,Urban,Good Schools
2022-10-21,Louisiana,118954,170789,Abundant,5.2,Moderate,1.51,Low,Millennial Buyers,587429,1238,Urban,Good Schools
2012-03-11,Maryland,191532,127378,Limited,5.11,Moderate,1.66,Moderate,Millennial Buyers,155841,2868,Urban,Good Schools
2020-01-20,Oregon,175208,112274,Abundant,5.57,Moderate,1.46,Low,Millennial Buyers,790585,2987,Urban,Good Schools
2021-06-25,Wisconsin,123106,115139,Abundant,5.52,Strong,1.87,High,Aging Population,704318,2558,Urban,Good Schools
2018-02-16,New Hampshire,171028,179575,Limited,5.54,Moderate,0.86,Low,Millennial Buyers,262371,3963,Suburban,Transport
2023-02-15,New Hampshire,189542,177764,Abundant,5.37,Strong,1.86,High,Aging Population,162109,1835,Urban,Good Schools
2021-12-17,Wyoming,106987,106422,Limited,5.36,Moderate,1.23,Low,Aging Population,768254,2245,Urban,Good Schools
2017-08-08,Wyoming,107559,152895,Abundant,3.77,Moderate,0.6,Low,Aging Population,383603,1425,Urban,Good Schools
2018-02-18,Georgia,147806,160512,Limited,4.52,Weak,1.42,High,Millennial Buyers,323144,3370,Suburban,Transport
2020-08-03,Colorado,66877,188708,Abundant,5.24,Weak,1.45,Low,Millennial Buyers,365827,2107,Suburban,Transport
2014-10-10,Nebraska,108659,197463,Abundant,5.78,Strong,1.54,Low,Aging Population,554738,3555,Urban,Good Schools
2020-10-23,West Virginia,126163,188611,Abundant,3.75,Weak,0.75,High,Aging Population,235985,3674,Urban,Good Schools
2020-05-30,South Dakota,95121,196155,Abundant,3.36,Moderate,1.52,Moderate,Millennial Buyers,475160,3312,Urban,Good Schools
2015-07-18,North Carolina,153504,135158,Limited,4.57,Strong,0.87,Low,Millennial Buyers,315456,1677,Urban,Good Schools
2016-03-24,Florida,178578,162236,Limited,3.05,Strong,0.84,High,Millennial Buyers,539415,3110,Urban,Good Schools
2010-04-10,Kansas,70606,165557,Abundant,3.82,Strong,1.21,Moderate,Millennial Buyers,161892,1778,Urban,Good Schools
2023-06-23,Alabama,187578,176171,Limited,3.5,Moderate,1.09,Moderate,Millennial Buyers,692956,1552,Suburban,Transport
2019-05-01,Nebraska,83427,150915,Abundant,3.64,Strong,0.84,Moderate,Millennial Buyers,227087,1345,Urban,Good Schools
2021-08-16,Ohio,125601,175026,Limited,5.9,Strong,1.72,Low,Millennial Buyers,290601,1267,Urban,Good Schools
2022-08-25,Pennsylvania,154100,191784,Abundant,3.87,Moderate,1.92,Low,Millennial Buyers,258517,3988,Suburban,Transport
2023-06-18,South Dakota,120056,137059,Limited,5.82,Moderate,1.31,Moderate,Millennial Buyers,213355,3342,Urban,Good Schools
2010-07-11,Vermont,70202,188321,Abundant,4.12,Moderate,0.52,Low,Aging Population,208722,2038,Urban,Good Schools
2022-11-10,Idaho,150200,139699,Limited,5.74,Strong,1.04,Moderate,Millennial Buyers,577791,2929,Urban,Good Schools
2014-11-20,Rhode Island,174303,133250,Abundant,3.14,Strong,1.32,Low,Aging Population,293576,2953,Suburban,Transport
2014-03-13,Pennsylvania,86983,108281,Abundant,3.97,Weak,0.76,Moderate,Millennial Buyers,701687,2052,Suburban,Transport
2017-10-05,Maryland,105588,109190,Abundant,3.43,Weak,1.19,Moderate,Aging Population,248134,3587,Urban,Good Schools
2022-03-03,Hawaii,162684,179498,Abundant,3.24,Strong,0.58,Moderate,Aging Population,266047,3492,Urban,Good Schools
2023-06-17,California,127203,180980,Limited,3.42,Strong,1.22,High,Aging Population,725903,1695,Urban,Good Schools
2014-05-18,Mississippi,182389,143547,Abundant,3.91,Strong,1.15,High,Aging Population,330170,3051,Urban,Good Schools
2014-11-15,Virginia,137278,103586,Limited,5.95,Strong,1.42,Moderate,Aging Population,436339,3034,Suburban,Transport
2023-06-02,Illinois,114959,146419,Limited,3.51,Strong,1.63,Moderate,Millennial Buyers,595576,1945,Urban,Good Schools
2017-01-18,Michigan,118068,129676,Abundant,3.16,Strong,1.68,High,Millennial Buyers,541045,3153,Urban,Good Schools
2019-04-22,North Carolina,62752,107965,Limited,4.35,Moderate,1.1,High,Millennial Buyers,210649,2060,Suburban,Transport
2020-11-19,New Hampshire,114576,126213,Abundant,4.51,Moderate,1.13,Low,Aging Population,222312,1087,Urban,Good Schools
2020-04-28,Idaho,179648,140531,Limited,3.53,Strong,1.9,Moderate,Aging Population,444053,1545,Urban,Good Schools
2010-06-16,Rhode Island,186322,176728,Abundant,3.25,Strong,0.77,Low,Millennial Buyers,653347,2976,Suburban,Transport
2014-10-18,Florida,137905,114018,Limited,3.14,Weak,0.73,Moderate,Aging Population,665290,3635,Urban,Good Schools
2014-01-19,South Carolina,50653,149963,Limited,3.75,Weak,1.67,Low,Millennial Buyers,569853,2657,Urban,Good Schools
2012-10-21,Alaska,124738,149972,Abundant,3.03,Weak,0.61,High,Aging Population,677161,3474,Urban,Good Schools
2014-11-24,South Carolina,54800,127456,Limited,3.9,Weak,1.74,Moderate,Aging Population,651067,3465,Suburban,Transport
2016-03-14,Nebraska,76850,198697,Limited,5.92,Moderate,0.54,High,Millennial Buyers,276830,1289,Suburban,Transport
2016-10-09,Massachusetts,196561,155922,Limited,5.2,Strong,1.16,High,Millennial Buyers,391274,1443,Suburban,Transport
2014-12-28,Michigan,109266,140094,Abundant,4.49,Weak,1.9,High,Millennial Buyers,740540,3973,Suburban,Transport
2013-05-05,Hawaii,56850,115216,Limited,4.11,Weak,1.84,High,Millennial Buyers,418894,3369,Suburban,Transport
2014-07-25,Illinois,189045,139625,Limited,5.72,Weak,1.25,Moderate,Aging Population,269800,2762,Suburban,Transport
2018-02-08,Illinois,169671,159342,Limited,5.22,Weak,0.58,High,Millennial Buyers,412440,2333,Urban,Good Schools
2010-06-02,North Dakota,150469,170208,Abundant,4.08,Weak,1.0,High,Millennial Buyers,197864,3079,Suburban,Transport
2016-12-09,Missouri,134965,194021,Abundant,4.77,Weak,1.67,High,Aging Population,546461,2627,Urban,Good Schools
2022-11-02,Pennsylvania,127443,163468,Abundant,5.94,Moderate,0.8,High,Aging Population,235332,3375,Suburban,Transport
2015-06-02,Illinois,186274,174437,Abundant,3.33,Strong,1.32,Moderate,Millennial Buyers,647456,2541,Urban,Good Schools
2014-01-09,Idaho,133480,116978,Limited,3.04,Weak,1.81,Moderate,Aging Population,304985,2687,Urban,Good Schools
2017-09-08,New York,62934,134004,Abundant,3.05,Weak,0.67,Low,Aging Population,1407476,1491,Suburban,Transport
2016-11-17,Massachusetts,166226,198753,Abundant,5.7,Weak,1.62,Low,Millennial Buyers,307414,2360,Urban,Good Schools
2018-01-22,Montana,101756,143651,Abundant,5.92,Strong,0.83,Moderate,Millennial Buyers,588068,1991,Suburban,Transport
2018-02-28,Iowa,110646,144601,Abundant,5.96,Strong,0.72,Low,Millennial Buyers,288067,2271,Suburban,Transport
2023-03-16,Oregon,125931,154740,Limited,4.93,Strong,1.87,Moderate,Aging Population,189551,3246,Urban,Good Schools
2018-04-06,West Virginia,108591,144475,Abundant,5.61,Weak,1.08,Moderate,Aging Population,574005,1779,Urban,Good Schools
2014-04-16,Nevada,147953,102240,Abundant,5.91,Weak,1.69,High,Aging Population,742248,2423,Urban,Good Schools
2010-02-01,Hawaii,60450,145640,Abundant,3.06,Weak,1.61,High,Millennial Buyers,513187,3351,Suburban,Transport
2012-07-26,Nebraska,83415,133032,Limited,4.58,Strong,1.46,Low,Millennial Buyers,324477,2690,Suburban,Transport
2013-04-30,Wisconsin,147090,107066,Limited,4.1,Moderate,0.54,Moderate,Millennial Buyers,308310,1799,Urban,Good Schools
2015-04-22,Oklahoma,194270,141466,Limited,4.86,Strong,1.13,Low,Aging Population,590347,2811,Urban,Good Schools
2013-02-03,Hawaii,176716,178989,Abundant,5.01,Strong,1.69,Moderate,Millennial Buyers,516269,2788,Suburban,Transport
2010-11-06,California,185029,104332,Abundant,4.46,Moderate,0.75,Moderate,Millennial Buyers,1309187,1094,Suburban,Transport
2023-06-03,North Carolina,196723,107263,Abundant,5.84,Strong,0.86,Low,Millennial Buyers,525987,3730,Urban,Good Schools
2015-12-09,Kansas,111146,164406,Limited,4.68,Moderate,1.92,Low,Millennial Buyers,288685,3378,Urban,Good Schools
2018-07-11,Arizona,189340,161881,Abundant,5.9,Weak,1.72,Low,Aging Population,690803,3689,Urban,Good Schools
2011-05-11,Rhode Island,126918,102099,Limited,5.24,Moderate,0.72,High,Aging Population,291427,2366,Urban,Good Schools
2010-07-25,Hawaii,74776,124832,Abundant,5.39,Moderate,1.63,Moderate,Millennial Buyers,709455,2123,Suburban,Transport
2017-04-27,Oregon,138372,140409,Limited,5.12,Strong,0.65,High,Aging Population,424639,1157,Urban,Good Schools
2019-03-12,Utah,178571,161962,Abundant,4.91,Weak,1.45,High,Millennial Buyers,334033,1378,Urban,Good Schools
2020-06-27,Indiana,181390,131762,Abundant,5.26,Weak,0.69,High,Aging Population,748210,2373,Suburban,Transport
2010-11-02,New Jersey,157338,182553,Limited,4.15,Moderate,1.02,Moderate,Aging Population,714446,3939,Suburban,Transport
2020-05-21,Washington,108124,122773,Abundant,4.38,Strong,1.18,High,Millennial Buyers,177985,1227,Suburban,Transport
2016-01-11,Kentucky,102352,135543,Abundant,4.88,Weak,1.23,Low,Aging Population,254876,1595,Suburban,Transport
2012-11-27,Michigan,174874,123511,Limited,4.11,Strong,0.72,High,Aging Population,168704,3083,Suburban,Transport
2012-04-23,Mississippi,164915,183654,Abundant,5.95,Moderate,1.03,Low,Millennial Buyers,462218,3347,Urban,Good Schools
