iter	RMSE
0	235107.2917
1	232876.0285
2	231101.9945
3	227556.8349
4	226071.4578
5	223052.1306
6	220514.6631
7	218319.2315
8	216937.2956
9	215102.889
10	213750.8648
11	212243.193
12	211174.308
13	209847.2663
14	208685.3909
15	208434.5322
16	208299.6932
17	208099.4364
18	207847.1167
19	207486.3413
20	206552.9769
21	205456.9553
22	204542.3027
23	204362.0909
24	204099.8824
25	203848.0672
26	203005.7007
27	202668.5176
28	202350.2998
29	202159.6628
30	201908.6751
31	201226.7563
32	200964.0875
33	200293.9367
34	200123.1946
35	199924.8246
36	199711.2201
37	199519.6425
38	199229.2201
39	198939.9996
40	198632.9401
41	198366.6569
42	197770.6164
43	197532.5731
44	197248.8028
45	196960.0718
46	196257.6208
47	195939.4787
48	195730.2735
49	195584.8882
50	195095.5068
51	194679.1266
52	194610.5616
53	194035.9699
54	193508.7944
55	193372.8453
56	193240.1291
57	192744.1967
58	192525.5071
59	192337.6748
60	192142.9337
61	192020.1146
62	191729.7068
63	191444.5002
64	191201.4543
65	190941.6202
66	190736.6386
67	190542.9469
68	190434.0425
69	190140.5357
70	189657.9067
71	189596.8182
72	189350.7071
73	189089.0882
74	188949.6803
75	188703.0911
76	188602.6173
77	188402.2935
78	188240.7045
79	188059.4085
80	187931.3537
81	187772.5884
82	187626.9682
83	187467.532
84	187316.3803
85	187136.8736
86	186884.0797
87	186705.1988
88	186409.9658
89	186070.724
90	185862.9972
91	185715.8207
92	185598.2824
93	185456.6292
94	184955.313
95	184471.8428
96	184317.8278
97	184136.6204
98	183961.844
99	183810.3669
