iter	Passed	Remaining
0	2	222
1	4	206
2	6	204
3	8	200
4	10	193
5	11	186
6	13	181
7	15	176
8	17	175
9	19	172
10	21	172
11	23	169
12	24	167
13	26	164
14	28	161
15	30	158
16	32	157
17	34	155
18	36	154
19	38	152
20	40	150
21	41	148
22	43	146
23	45	144
24	47	143
25	49	140
26	51	138
27	53	137
28	55	135
29	56	132
30	58	130
31	60	128
32	62	126
33	64	124
34	66	122
35	68	121
36	69	119
37	71	117
38	73	115
39	75	113
40	77	111
41	79	109
42	81	107
43	83	105
44	84	103
45	86	101
46	88	100
47	91	98
48	93	96
49	94	94
50	96	93
51	98	91
52	100	89
53	103	87
54	104	85
55	106	83
56	108	82
57	110	80
58	112	78
59	114	76
60	116	74
61	119	73
62	121	71
63	122	69
64	124	67
65	127	65
66	128	63
67	130	61
68	132	59
69	135	57
70	137	56
71	138	53
72	140	51
73	142	50
74	144	48
75	146	46
76	148	44
77	150	42
78	152	40
79	154	38
80	156	36
81	158	34
82	160	32
83	162	30
84	164	29
85	166	27
86	168	25
87	170	23
88	172	21
89	174	19
90	176	17
91	178	15
92	180	13
93	182	11
94	184	9
95	185	7
96	187	5
97	189	3
98	191	1
99	193	0
