iter	RMSE
0	15.10081293
1	14.78196144
2	14.48522406
3	14.20442307
4	13.92974988
5	13.67444736
6	13.41604272
7	13.14986909
8	12.90990193
9	12.70959674
10	12.46474739
11	12.24469164
12	12.03468663
13	11.81297413
14	11.61098858
15	11.41498304
16	11.2166977
17	11.04674632
18	10.85491445
19	10.68467147
20	10.50772073
21	10.35948445
22	10.19065455
23	10.04897871
24	9.89394122
25	9.745764658
26	9.5979688
27	9.455545897
28	9.321482353
29	9.190840909
30	9.06333966
31	8.953391289
32	8.844875979
33	8.754469751
34	8.64310096
35	8.5397887
36	8.436448375
37	8.333284291
38	8.248190788
39	8.156701465
40	8.081730009
41	7.994808444
42	7.918294282
43	7.842865072
44	7.767068279
45	7.695840734
46	7.616134517
47	7.541593771
48	7.47234363
49	7.411117673
50	7.340246176
51	7.279211275
52	7.211365073
53	7.156634031
54	7.096182301
55	7.041382051
56	6.980104519
57	6.93117944
58	6.891596667
59	6.847394274
60	6.803882205
61	6.760527896
62	6.714566756
63	6.671313057
64	6.62716511
65	6.585490196
66	6.555104609
67	6.518424602
68	6.481197975
69	6.447211828
70	6.423615475
71	6.389053675
72	6.357208845
73	6.327448269
74	6.293876177
75	6.267981833
76	6.241793091
77	6.221610955
78	6.196226068
79	6.171377995
80	6.148926108
81	6.125283575
82	6.110074147
83	6.086072169
84	6.06036061
85	6.037995709
86	6.014573657
87	5.992095152
88	5.971626702
89	5.95371013
90	5.930521033
91	5.90774387
92	5.890274713
93	5.870961656
94	5.852156057
95	5.830492466
96	5.815525422
97	5.797922264
98	5.784451756
99	5.772502525
100	5.754426238
101	5.742236017
102	5.72720489
103	5.71332308
104	5.700598286
105	5.6898566
106	5.676655018
107	5.66447606
108	5.654478616
109	5.641519302
110	5.628078382
111	5.61623084
112	5.603290551
113	5.592958685
114	5.577728833
115	5.561744612
116	5.553594635
117	5.542119207
118	5.531407991
119	5.523577314
120	5.511100106
121	5.503898838
122	5.495131511
123	5.486206319
124	5.475908539
125	5.46885841
126	5.461882243
127	5.453301886
128	5.443783763
129	5.43312552
130	5.425101919
131	5.417942958
132	5.413141124
133	5.409626517
134	5.40349235
135	5.397151676
136	5.392102271
137	5.386522779
138	5.383143014
139	5.377046168
140	5.367584924
141	5.363750495
142	5.358771544
143	5.348277824
144	5.340336803
145	5.336105758
146	5.32789829
147	5.321679794
148	5.316769003
149	5.310432101
150	5.306303401
151	5.300142946
152	5.293669058
153	5.289619648
154	5.282093291
155	5.277113103
156	5.272750352
157	5.268216927
158	5.263774963
159	5.260292719
160	5.255669986
161	5.252375844
162	5.249036333
163	5.245116778
164	5.240042257
165	5.236724976
166	5.233247869
167	5.229510128
168	5.222783259
169	5.220104109
170	5.215165265
171	5.209885017
172	5.206382805
173	5.201682514
174	5.199467895
175	5.197046288
176	5.190790584
177	5.187545397
178	5.184530806
179	5.179114439
180	5.173803394
181	5.171612109
182	5.168164691
183	5.164512991
184	5.161498102
185	5.159082822
186	5.156098917
187	5.149364417
188	5.147376729
189	5.143393243
190	5.140598921
191	5.137013182
192	5.133805751
193	5.130877456
194	5.128457741
195	5.124396081
196	5.119069497
197	5.11475042
198	5.112733779
199	5.110798878
200	5.107534522
201	5.104834107
202	5.101890004
203	5.099194583
204	5.09666238
205	5.09389225
206	5.088629948
207	5.086736715
208	5.080690569
209	5.075646674
210	5.072275595
211	5.069054723
212	5.066470392
213	5.061846894
214	5.058592336
215	5.056473403
216	5.055223106
217	5.052744622
218	5.049688951
219	5.04461508
220	5.042999776
221	5.037223068
222	5.035123335
223	5.032472231
224	5.029803263
225	5.02734399
226	5.023479422
227	5.021457638
228	5.017875629
229	5.014915937
230	5.011167934
231	5.010031064
232	5.00706306
233	5.004962935
234	5.002742355
235	5.000671496
236	4.999484398
237	4.99620013
238	4.993317893
239	4.989327651
240	4.985171073
241	4.983087409
242	4.980583076
243	4.978092881
244	4.976407452
245	4.974387693
246	4.9701093
247	4.967088843
248	4.96553564
249	4.96254947
250	4.961305129
251	4.957011777
252	4.955607017
253	4.951787825
254	4.949632272
255	4.947699936
256	4.945831702
257	4.944025379
258	4.94361685
259	4.94051122
260	4.939217689
261	4.938160202
262	4.935951741
263	4.93381767
264	4.930946003
265	4.928952867
266	4.927284957
267	4.925181495
268	4.92387746
269	4.922235969
270	4.920956951
271	4.919330617
272	4.917758596
273	4.913084439
274	4.909018721
275	4.907132562
276	4.903170786
277	4.901720442
278	4.900158707
279	4.897273765
280	4.893804364
281	4.89215061
282	4.889422398
283	4.883957536
284	4.880403045
285	4.879119668
286	4.875679208
287	4.871951729
288	4.87021729
289	4.867675624
290	4.86406557
291	4.860889177
292	4.858974015
293	4.857862311
294	4.856365917
295	4.854095315
296	4.852316965
297	4.849529562
298	4.848552036
299	4.846330346
300	4.844713147
301	4.841252341
302	4.838898691
303	4.836683486
304	4.835871594
305	4.834840507
306	4.832454961
307	4.830484761
308	4.82795752
309	4.826572657
310	4.824731852
311	4.821642321
312	4.818238274
313	4.816418942
314	4.815136377
315	4.811249427
316	4.810052855
317	4.808257302
318	4.806682815
319	4.805465657
320	4.803457139
321	4.800884487
322	4.799070946
323	4.795586192
324	4.791453346
325	4.787688583
326	4.78653219
327	4.783725172
328	4.781682911
329	4.779131517
330	4.777310803
331	4.7760451
332	4.773141741
333	4.770977601
334	4.769741518
335	4.766612751
336	4.765626398
337	4.762639088
338	4.760447859
339	4.758321811
340	4.757162805
341	4.756139168
342	4.753323729
343	4.750325938
344	4.7478054
345	4.745357248
346	4.74145539
347	4.739285331
348	4.73835442
349	4.735621185
350	4.733618876
351	4.730400218
352	4.726992814
353	4.724038511
354	4.721875581
355	4.719765654
356	4.717118864
357	4.714619954
358	4.710988371
359	4.709893064
360	4.707884534
361	4.706834243
362	4.705643982
363	4.702278427
364	4.699830069
365	4.697592598
366	4.694078123
367	4.691625241
368	4.69009439
369	4.687773892
370	4.687333818
371	4.684973141
372	4.684503036
373	4.682437041
374	4.680488177
375	4.680028385
376	4.678382873
377	4.675637432
378	4.671676119
379	4.668712429
380	4.664997409
381	4.661457039
382	4.658879863
383	4.655681342
384	4.65398188
385	4.650572225
386	4.648953692
387	4.648713219
388	4.648067286
389	4.645627591
390	4.643850256
391	4.642056061
392	4.640264406
393	4.638153818
394	4.636092858
395	4.634896154
396	4.63374533
397	4.630872504
398	4.628735229
399	4.625884972
400	4.622132082
401	4.618681611
402	4.616140167
403	4.614153839
404	4.61214065
405	4.610604914
406	4.608508367
407	4.605775708
408	4.603241151
409	4.601790058
410	4.598753394
411	4.597312124
412	4.595976287
413	4.592876423
414	4.590453467
415	4.588402326
416	4.587097826
417	4.585350608
418	4.582197427
419	4.579862196
420	4.576754935
421	4.574933535
422	4.573091749
423	4.571586521
424	4.570641856
425	4.568581893
426	4.566908016
427	4.565051735
428	4.561867532
429	4.560162265
430	4.558237842
431	4.555818309
432	4.554136149
433	4.552460885
434	4.549747398
435	4.548292757
436	4.547088538
437	4.544948822
438	4.543628231
439	4.542419531
440	4.539821318
441	4.537771594
442	4.537182394
443	4.535721901
444	4.533940328
445	4.533767829
446	4.531835931
447	4.528833116
448	4.525786162
449	4.523323591
450	4.52015862
451	4.517599002
452	4.516668302
453	4.513757935
454	4.511523824
455	4.510284169
456	4.507471573
457	4.505309878
458	4.503729749
459	4.501201489
460	4.499879925
461	4.498470895
462	4.496565516
463	4.494457548
464	4.492833493
465	4.490152798
466	4.487445743
467	4.486637303
468	4.485626804
469	4.483034374
470	4.482131193
471	4.480598945
472	4.47769188
473	4.476540617
474	4.474494497
475	4.47325069
476	4.471513999
477	4.467881381
478	4.467009227
479	4.463900387
480	4.461036334
481	4.457774086
482	4.455337244
483	4.452868904
484	4.452665624
485	4.450648533
486	4.44710825
487	4.445230996
488	4.444163603
489	4.441436275
490	4.440673023
491	4.439909682
492	4.435980668
493	4.433247183
494	4.430692657
495	4.426796679
496	4.42454722
497	4.422310302
498	4.421263116
499	4.420578094
